2025-12-17 20:42:03 - INFO - Loading data.
2025-12-17 22:40:50 - INFO - Loading data.
2025-12-18 00:19:45 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:20:47 - INFO - Building chart with motif: Count per grade, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:31:33 - INFO - Building chart with motif: Mean grade per year, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:31:49 - INFO - Building chart with motif: Mean grade per exam, series: None, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:32:05 - INFO - Building chart with motif: Mean grade per exam, series: Sexo, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:32:46 - INFO - Building chart with motif: Mean grade per year, series: Sexo, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:33:15 - INFO - Building chart with motif: Mean grade per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:33:31 - INFO - Building chart with motif: Count per grade, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:35:02 - INFO - Building chart with motif: Count per grade, series: Pub/Priv, normalize: True, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:35:39 - INFO - Building chart with motif: Count per grade, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
